Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
1480 Tubize,House,Residence,285000.0,for sale,2.0,116.0,,0.0,,1.0,14.0,1.0,93.0,194.0,,2.0,0.0,Normal
7500 Tournai,House,Residence,150000.0,for sale,4.0,156.0,,0.0,,1.0,,0.0,,90.0,,2.0,,To be renovated
7330 Saint Ghislain,Apartment,Apartment,120000.0,for sale,,59.0,,,0.0,0.0,,0.0,,,,,,Normal
5580 Rochefort,Apartment,Apartment,260000.0,for sale,2.0,87.0,,0.0,,1.0,,,,,,,,Excellent
2560 Nijlen,House,Residence,329000.0,for sale,2.0,178.0,,0.0,,0.0,,0.0,,1256.0,,4.0,,To be renovated
1850 Grimbergen,House,Villa,675000.0,for sale,4.0,250.0,,0.0,,0.0,,1.0,1140.0,1330.0,,4.0,,To be renovated
9667 Horebeke,House,Mixed Building,349000.0,for sale,4.0,170.0,1.0,,,1.0,28.0,1.0,,,,4.0,,Normal
1040 Etterbeek,House,Residence,895000.0,for sale,5.0,230.0,0.0,0.0,,1.0,40.0,1.0,40.0,120.0,,2.0,0.0,Normal
7100 La Louviere,House,Residence,195000.0,for sale,3.0,202.0,,0.0,,1.0,10.0,0.0,,,,2.0,,
1701 Itterbeek,House,Residence,825000.0,for sale,4.0,354.0,,0.0,,1.0,,1.0,,1574.0,,4.0,1.0,
8800 Roeselare,House,Residence,320290.0,for sale,3.0,141.0,,,,0.0,,0.0,,362.0,,3.0,,
9160 Lokeren,House,Residence,412500.0,for sale,3.0,168.0,,,,0.0,,0.0,,203.0,,3.0,,
3190 Boortmeerbeek,Apartment,Apartment,285000.0,for sale,3.0,108.0,,,,1.0,,1.0,,,,4.0,,
1050 Elsene,Apartment,Duplex,695000.0,for sale,2.0,123.0,,,,,,,,,,2.0,,Fully renovated
4950 Sourbrodt,House,Cottage,880000.0,for sale,8.0,550.0,,,,1.0,,1.0,3600.0,,,,,
1070 Anderlecht,Apartment,Apartment,230000.0,for sale,3.0,90.0,,0.0,,0.0,,0.0,,,,2.0,,To renovate
1020 Laken,House,Residence,309000.0,for sale,3.0,160.0,,,,1.0,36.0,0.0,,96.0,,2.0,,
8700 Tielt,House,Residence,375000.0,for sale,6.0,256.0,,,,1.0,18.0,1.0,,180.0,,,,Fully renovated
8470 Gistel,House,Residence,385000.0,for sale,4.0,171.0,0.0,,,1.0,,1.0,,246.0,,3.0,0.0,New
8400 Oostende,Apartment,Apartment,169000.0,for sale,2.0,63.0,,1.0,,0.0,,0.0,,,,,,Excellent
1460 Ittre,Apartment,Apartment,245000.0,for sale,2.0,80.0,0.0,,,1.0,3.0,,,,,,0.0,Excellent
4020 Liege,Apartment,Apartment,135000.0,for sale,1.0,47.0,,,,1.0,,,,,,2.0,,Normal
4020 Liege,Apartment,Apartment,130000.0,for sale,2.0,66.0,,0.0,,0.0,,0.0,,,,2.0,,
1000 Brussels,Apartment,Apartment,435000.0,for sale,2.0,150.0,0.0,0.0,,1.0,4.0,0.0,,,,2.0,0.0,Excellent
2018 Antwerp,Apartment,Apartment,385000.0,for sale,1.0,70.0,,0.0,,1.0,6.0,0.0,,,,2.0,,New
1410 Waterloo,Apartment,Apartment,531250.0,for sale,2.0,125.0,,1.0,,1.0,20.0,0.0,,,,,,Normal
7540 Kain,House,Mansion,1350000.0,for sale,30.0,3000.0,1.0,0.0,,1.0,,1.0,14229.0,14229.0,,4.0,0.0,Normal
