Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
1000 Brussels,Apartment,Apartment,365000.0,for sale,2.0,,,1.0,,1.0,,0.0,,,,2.0,,
3070 Kortenberg,Apartment,Apartment,349000.0,for sale,2.0,79.0,0.0,0.0,,1.0,,0.0,,,,,0.0,Normal
4140 Sprimont,House,Residence,175000.0,for sale,2.0,75.0,0.0,0.0,,0.0,,1.0,,46.0,,3.0,0.0,Normal
1325 Chaumont Gistoux,House,Villa,783045.0,for sale,3.0,335.0,,,,,,1.0,,4500.0,,4.0,,New
8890 Moorslede,House,Residence,389000.0,for sale,4.0,220.0,,,,1.0,29.0,1.0,,411.0,,2.0,,
4602 Cheratte,House,Residence,335000.0,for sale,3.0,170.0,,0.0,,1.0,,1.0,,2825.0,,4.0,,Normal
3740 Beverst,House,Residence,415000.0,for sale,3.0,141.0,,,,1.0,28.0,1.0,,445.0,,3.0,1.0,
8750 Wingene,Apartment,Penthouse,495000.0,for sale,2.0,152.0,0.0,,,1.0,,,,,,,,Excellent
1030 Schaarbeek,Apartment,Apartment,399000.0,for sale,1.0,70.0,,0.0,,1.0,40.0,1.0,66.0,,,2.0,,Normal
8790 Waregem,House,Cottage,,for sale,5.0,2500.0,0.0,0.0,1.0,1.0,,1.0,,27546.0,,4.0,0.0,Excellent
1200 Sint Lambrechts Woluwe,Apartment,Apartment,,for sale,2.0,,,0.0,,1.0,,1.0,,,,2.0,,New
1000 Brussels,Apartment,Apartment,620000.0,for sale,2.0,113.0,1.0,0.0,,1.0,2.0,0.0,,,,2.0,,Fully renovated
1040 Etterbeek,House,Residence,750000.0,for sale,4.0,235.0,,,0.0,1.0,8.0,1.0,,140.0,,,,Normal
1410 Waterloo,House,Residence,990000.0,for sale,5.0,400.0,1.0,0.0,,1.0,7.0,1.0,1200.0,1799.0,,4.0,0.0,To renovate
3582 Koersel,Apartment,Apartment,298000.0,for sale,1.0,73.0,,0.0,,1.0,14.0,0.0,,,,3.0,,New
4101 Jemeppe,House,Residence,395000.0,for sale,6.0,230.0,0.0,0.0,,1.0,50.0,1.0,270.0,420.0,,3.0,0.0,Excellent
4000 Liege,House,Residence,289000.0,for sale,2.0,134.0,,0.0,,0.0,,1.0,80.0,205.0,,3.0,,Normal
9160 Lokeren,Apartment,Apartment,240566.0,for sale,1.0,76.0,1.0,,,1.0,,1.0,,,,,,
5150 Franiere,Apartment,Apartment,159000.0,for sale,2.0,108.0,,0.0,,1.0,,1.0,,,,2.0,,
5670 Dourbes,House,Residence,250000.0,for sale,5.0,192.0,,0.0,,0.0,,1.0,,677.0,,3.0,,
1200 Sint Lambrechts Woluwe,Apartment,Apartment,,for sale,3.0,133.0,0.0,0.0,,1.0,13.0,0.0,,,,4.0,0.0,New
3920 Lommel,House,Residence,425000.0,for sale,4.0,270.0,,0.0,,1.0,,1.0,,267.0,,2.0,,Normal
9506 Idegem,House,Residence,649000.0,for sale,5.0,400.0,0.0,0.0,,1.0,30.0,1.0,1500.0,2618.0,,4.0,0.0,Excellent
2960 Sint Job In  T Goor,House,Residence,539000.0,for sale,4.0,178.0,,0.0,,1.0,,1.0,,582.0,,4.0,,To be renovated
4219 Wasseiges,House,Residence,475000.0,for sale,3.0,190.0,,0.0,,1.0,20.0,1.0,,1120.0,,4.0,,
1080 Sint Jans Molenbeek,Apartment,Apartment,120000.0,in public sale,2.0,,,,,0.0,,0.0,,,,,,
4250 Geer,House,Residence,405000.0,for sale,4.0,184.0,1.0,,,1.0,18.0,1.0,754.0,970.0,,2.0,0.0,Fully renovated
1050 Elsene,House,Residence,675000.0,in public sale,3.0,,,,,1.0,,1.0,,125.0,,2.0,,
8800 Roeselare,House,Residence,149000.0,for sale,3.0,128.0,,,,1.0,,0.0,,97.0,,2.0,,
6001 Marcinelle,House,Residence,169000.0,for sale,3.0,107.0,,0.0,,1.0,,1.0,,254.0,,2.0,,
3650 Dilsen Stokkem,House,Residence,415489.0,for sale,3.0,188.0,,,,1.0,,1.0,70.0,,,,,
6880 Bertrix,House,Residence,185000.0,for sale,3.0,107.0,0.0,0.0,,0.0,,1.0,486.0,486.0,,3.0,0.0,Normal
4877 Olne,House,Cottage,425000.0,for sale,3.0,150.0,,0.0,,1.0,49.0,1.0,5800.0,6386.0,,4.0,,Normal
8620 Nieuwpoort,Apartment,Apartment,435000.0,for sale,2.0,101.0,,,,1.0,10.0,1.0,,,,,,New
8800 Roeselare,House,Residence,339000.0,for sale,3.0,175.0,,,,1.0,,1.0,,192.0,,,,Excellent
8480 Eernegem,Apartment,Apartment,245000.0,for sale,2.0,90.0,,,,1.0,,0.0,,,,,,
3945 Ham,House,Residence,530000.0,for sale,3.0,189.0,,,,1.0,18.0,1.0,,373.0,,2.0,1.0,
7700 Mouscron,House,Residence,279000.0,for sale,3.0,184.0,1.0,,0.0,1.0,15.0,1.0,20.0,108.0,,2.0,0.0,Excellent
5600 Roly,House,Residence,1280000.0,for sale,9.0,340.0,,0.0,,1.0,,1.0,,52809.0,,,,
6800 Libramont Chevigny,Apartment,Apartment,275000.0,for sale,2.0,80.0,,0.0,,1.0,14.0,1.0,335.0,,,3.0,,
3650 Dilsen Stokkem,Apartment,Apartment,326253.0,for sale,2.0,106.0,1.0,,,1.0,38.0,1.0,204.0,,,,,New
7370 Dour,House,Residence,230000.0,for sale,2.0,101.0,0.0,0.0,,1.0,20.0,1.0,,151.0,,3.0,0.0,Excellent
6500 Beaumont,House,Residence,300000.0,for sale,7.0,,,,,0.0,,1.0,,,,,,
2960 Sint Lenaarts,House,Residence,199000.0,for sale,2.0,112.0,,0.0,,1.0,,1.0,,281.0,,3.0,,To be renovated
1400 Nivelles,House,Mixed Building,425000.0,for sale,3.0,162.0,,0.0,,1.0,15.0,0.0,,90.0,,2.0,0.0,Excellent
7387 Onnezies,House,Residence,110000.0,for sale,3.0,82.0,,0.0,,0.0,,1.0,,150.0,,3.0,,To be renovated
4032 Chenee,House,Residence,249000.0,for sale,3.0,152.0,1.0,,,1.0,,1.0,,135.0,,2.0,0.0,Excellent
8470 Gistel,House,Residence,395000.0,for sale,3.0,184.0,0.0,,,1.0,,1.0,,354.0,,3.0,0.0,New
2920 Kalmthout,House,Residence,585000.0,for sale,3.0,193.0,,0.0,,1.0,,1.0,,830.0,,4.0,,To be renovated
1150 Sint Pieters Woluwe,Apartment,Apartment,910000.0,for sale,4.0,203.0,0.0,0.0,,1.0,40.0,,,,,3.0,,Excellent
8610 Handzame,House,Residence,549000.0,for sale,6.0,,,,,0.0,,0.0,,1138.0,,2.0,,
5550 Chairiere,House,Residence,100000.0,in public sale,3.0,,,,,0.0,,1.0,,,,,,
6210 Les Bons Villers,House,Residence,299900.0,for sale,3.0,152.0,1.0,0.0,,1.0,20.0,1.0,150.0,251.0,,2.0,,Normal
4000 Liege,House,Mixed Building,229000.0,for sale,4.0,140.0,,0.0,,1.0,,0.0,,,,2.0,0.0,Normal
1050 Elsene,Apartment,Ground Floor,890000.0,for sale,3.0,185.0,0.0,0.0,,0.0,,1.0,60.0,,,2.0,0.0,Excellent
1180 Ukkel,Apartment,Apartment,1190000.0,for sale,5.0,320.0,,,0.0,1.0,20.0,0.0,,,,4.0,,New
6953 Ambly,House,Residence,99000.0,for sale,2.0,70.0,,0.0,,0.0,,1.0,55.0,55.0,,3.0,0.0,To renovate
9800 Deinze,Apartment,Apartment,416240.0,for sale,2.0,95.0,0.0,0.0,,1.0,16.0,1.0,90.0,,,2.0,0.0,New
4900 Spa,House,Residence,495700.0,for sale,4.0,215.0,,,,,,1.0,,807.0,,4.0,,New
5081 Meux,House,Residence,325000.0,for sale,3.0,120.0,,0.0,,1.0,,1.0,100.0,307.0,,4.0,,To be renovated
6462 Vaulx,House,Residence,247000.0,for sale,2.0,146.0,,0.0,,1.0,25.0,1.0,852.0,994.0,,4.0,,Excellent
4020 Liege,Apartment,Apartment,15000.0,for sale,1.0,,,0.0,,1.0,2.0,0.0,,,,2.0,0.0,Normal
9700 Oudenaarde,Apartment,Apartment,395500.0,for sale,2.0,98.0,0.0,0.0,,1.0,13.0,0.0,,,,3.0,0.0,New
8870 Izegem,House,Residence,369000.0,for sale,3.0,159.0,1.0,0.0,,1.0,40.0,1.0,2000.0,2396.0,,4.0,1.0,To be renovated
9400 Ninove,Apartment,Duplex,450000.0,for sale,3.0,197.0,0.0,,,1.0,33.0,0.0,,,,4.0,0.0,Excellent
1020 Laken,House,Residence,850000.0,for sale,5.0,260.0,0.0,,,1.0,,1.0,225.0,400.0,,2.0,,Normal
4102 Ougree,House,Residence,120000.0,for sale,2.0,,1.0,,,0.0,,1.0,,,,3.0,,To be renovated
3930 Hamont Achel,House,Residence,469000.0,for sale,4.0,224.0,,0.0,,1.0,,1.0,,844.0,,4.0,,Normal
1930 Zaventem,Apartment,Apartment,462500.0,for sale,3.0,118.0,,0.0,,1.0,15.0,0.0,,,,4.0,,New
6980 La Roche En Ardenne,Apartment,Apartment,,for sale,0.0,47.0,,,,0.0,,0.0,,,,,,Normal
9500 Geraardsbergen,House,Residence,199000.0,for sale,2.0,117.0,,0.0,,1.0,25.0,0.0,,120.0,,3.0,,Normal
1460 Ittre,House,Residence,395000.0,for sale,10.0,900.0,,,,,,1.0,2000.0,3300.0,,4.0,0.0,To be renovated
7090 Steenkerque,House,Residence,995000.0,for sale,4.0,320.0,0.0,0.0,,1.0,,1.0,,1861.0,,4.0,1.0,To renovate
1180 Ukkel,Apartment,Studio,225000.0,for sale,1.0,44.0,,,,1.0,3.0,,,,,2.0,,Fully renovated
9000 Gent,House,Residence,1100000.0,for sale,4.0,492.0,,0.0,1.0,1.0,16.0,0.0,,190.0,,2.0,0.0,To be renovated
4300 Waremme,House,Residence,418400.0,for sale,4.0,,,0.0,,,,1.0,,960.0,,3.0,,New
9320 Erembodegem,House,Residence,325000.0,for sale,3.0,180.0,1.0,,,1.0,25.0,1.0,150.0,325.0,,3.0,,Normal
9170 Sint Gillis Waas,House,Villa,1350000.0,for sale,5.0,384.0,,0.0,,1.0,,1.0,14022.0,14262.0,,4.0,,Normal
6890 Libin,Apartment,Apartment,295000.0,for sale,3.0,159.0,1.0,0.0,,1.0,20.0,1.0,512.0,,,3.0,0.0,Excellent
2300 Turnhout,Apartment,Apartment,202000.0,for sale,1.0,65.0,,0.0,,1.0,6.0,0.0,,,,3.0,,New
3500 Hasselt,Apartment,Apartment,415000.0,for sale,3.0,145.0,,0.0,,1.0,14.0,0.0,,,,2.0,,Excellent
1000 Brussels,Apartment,Duplex,525000.0,for sale,2.0,108.0,0.0,,,1.0,,,,,,2.0,,Excellent
1070 Anderlecht,House,Residence,595000.0,for sale,4.0,,1.0,,,1.0,,1.0,,198.0,,2.0,,Excellent
8400 Oostende,Apartment,Apartment,247000.0,for sale,1.0,69.0,,,,1.0,,0.0,,,,2.0,,New
8560 Wevelgem,Apartment,Apartment,239000.0,for sale,2.0,75.0,0.0,,,1.0,10.0,1.0,10.0,,,2.0,0.0,New
3730 Hoeselt,House,Residence,239000.0,for sale,4.0,202.0,,,,1.0,,1.0,,358.0,,4.0,,
5670 Oignies En Thierache,House,Residence,70000.0,for sale,3.0,380.0,,0.0,,0.0,,1.0,,410.0,,3.0,,To be renovated
3730 Hoeselt,House,Residence,375000.0,for sale,3.0,198.0,,,,1.0,40.0,1.0,,646.0,,2.0,,
6000 Charleroi,House,Residence,598000.0,for sale,5.0,600.0,,,,0.0,,0.0,,250.0,,2.0,,
1081 Koekelberg,Apartment,Apartment,135000.0,for sale,1.0,72.0,,0.0,,1.0,3.0,0.0,,,,2.0,0.0,To be renovated
6180 Courcelles,House,Mixed Building,449999.0,for sale,3.0,272.0,1.0,0.0,,1.0,,1.0,,701.0,,3.0,0.0,Normal
2400 Mol,Apartment,Apartment,219901.0,for sale,1.0,68.0,,0.0,,1.0,6.0,0.0,,,,4.0,,New
4420 Saint Nicolas,House,Residence,175000.0,in public sale,3.0,,,,,1.0,,1.0,,,,2.0,,Excellent
9700 Oudenaarde,House,Residence,269500.0,for sale,4.0,170.0,1.0,0.0,,1.0,48.0,0.0,,110.0,,3.0,0.0,Normal
1860 Meise,Apartment,Ground Floor,355121.0,for sale,1.0,88.0,1.0,,,1.0,23.0,1.0,,,,,,
1730 Asse,House,Residence,285000.0,for sale,3.0,120.0,,0.0,,1.0,24.0,1.0,50.0,,,3.0,,Normal
6769 Meix Devant Virton,House,Residence,260000.0,for sale,4.0,225.0,0.0,0.0,,1.0,18.0,0.0,,170.0,,2.0,0.0,Excellent
8020 Ruddervoorde,House,Residence,368000.0,for sale,3.0,,,,,1.0,,1.0,,228.0,,3.0,,New
1490 Court Saint Etienne,Apartment,Ground Floor,434400.0,for sale,3.0,137.0,0.0,,,1.0,13.0,1.0,60.0,,,4.0,0.0,New
9000 Gent,House,Residence,349000.0,for sale,4.0,138.0,,0.0,,1.0,,1.0,40.0,116.0,,2.0,,Normal
1367 Mont Saint Andre,House,Residence,325000.0,for sale,5.0,230.0,,0.0,,1.0,,1.0,,455.0,,3.0,,
1852 Beigem,House,Residence,450000.0,for sale,3.0,202.0,,0.0,,1.0,,1.0,,488.0,,3.0,,Normal
8531 Hulste,House,Residence,365000.0,for sale,4.0,181.0,1.0,0.0,,1.0,14.0,1.0,32.0,429.0,,4.0,0.0,Normal
9400 Ninove,House,Residence,350000.0,for sale,4.0,220.0,,,,1.0,40.0,1.0,,534.0,,4.0,0.0,Normal
1410 Waterloo,House,Villa,675000.0,for sale,5.0,225.0,0.0,,,1.0,12.0,1.0,800.0,983.0,,4.0,0.0,To renovate
3650 Dilsen Stokkem,House,Residence,775000.0,for sale,3.0,197.0,,,,1.0,,1.0,,460.0,,4.0,,
9890 Gavere,Apartment,Duplex,447375.0,for sale,3.0,148.0,0.0,0.0,,1.0,11.0,,,,,4.0,,New
1000 Brussels,Apartment,Apartment,555000.0,for sale,2.0,102.0,,1.0,0.0,0.0,,0.0,,,,2.0,,Excellent
6640 Vaux Sur Sure,Apartment,Apartment,280000.0,for sale,3.0,95.0,0.0,0.0,,1.0,18.0,0.0,,,,4.0,,Normal
9032 Wondelgem,House,Residence,525000.0,for sale,3.0,200.0,,,,1.0,,1.0,137.0,238.0,,3.0,,Excellent
1350 Orp Le Grand,House,Residence,437798.0,for sale,4.0,216.0,,,,0.0,,1.0,749.0,843.0,,2.0,,New
1300 Wavre,Apartment,Apartment,275000.0,for sale,3.0,96.0,,0.0,,0.0,,0.0,,,,2.0,,Normal
9000 Gent,Apartment,Ground Floor,461300.0,for sale,2.0,114.0,0.0,0.0,,1.0,11.0,1.0,,,,,0.0,New
1370 Jodoigne,Apartment,Apartment,226000.0,for sale,1.0,75.0,,,,1.0,8.0,1.0,,,,,,New
3550 Heusden Zolder,House,Residence,549000.0,for sale,5.0,285.0,0.0,,,1.0,,1.0,,692.0,,4.0,,Excellent
1210 Sint Joost Ten Node,House,Residence,745000.0,for sale,3.0,138.0,0.0,0.0,,1.0,12.0,1.0,20.0,,,2.0,0.0,Fully renovated
5660 Couvin,House,Residence,128000.0,for sale,2.0,100.0,,,,,,1.0,120.0,180.0,,3.0,,
1370 Jodoigne,House,Residence,299000.0,for sale,3.0,120.0,,0.0,,1.0,,1.0,,188.0,,2.0,,
2170 Merksem,Apartment,Apartment,269000.0,for sale,2.0,85.0,,0.0,,1.0,5.0,0.0,,,,2.0,,Normal
6001 Marcinelle,Apartment,Ground Floor,227000.0,for sale,3.0,106.0,1.0,0.0,,1.0,8.0,1.0,,,,3.0,0.0,Excellent
5300 Andenne,House,Residence,535786.0,for sale,3.0,158.0,,,,,,1.0,,1369.0,,4.0,,New
4218 Couthuin,House,Residence,413000.0,for sale,3.0,190.0,,,,,,1.0,,1000.0,,4.0,,New
8620 Nieuwpoort,Apartment,Studio,112000.0,for sale,0.0,26.0,,0.0,,1.0,3.0,0.0,,,,2.0,,Normal
3090 Overijse,House,Residence,509600.0,for sale,3.0,144.0,,0.0,,1.0,18.0,1.0,100.0,203.0,,3.0,,New
8300 Knokke Heist,Apartment,Apartment,995000.0,for sale,5.0,137.0,,,,1.0,,1.0,,,,3.0,,
8930 Lauwe,House,Residence,499000.0,for sale,3.0,216.0,,0.0,,0.0,,1.0,,1350.0,,4.0,1.0,Normal
2300 Turnhout,Apartment,Apartment,219000.0,for sale,1.0,65.0,,0.0,,1.0,8.0,0.0,,,,3.0,,New
8620 Nieuwpoort,Apartment,Apartment,645000.0,for sale,2.0,112.0,,,,1.0,,0.0,,,,2.0,,New
7170 La Hestre,House,Residence,259999.0,for sale,4.0,264.0,1.0,0.0,,1.0,,1.0,,,,2.0,0.0,Normal
1340 Ottignies,House,Residence,320000.0,for sale,3.0,136.0,0.0,0.0,,1.0,20.0,1.0,700.0,887.0,,4.0,,To be renovated
1495 Villers La Ville,House,Villa,925000.0,for sale,5.0,330.0,0.0,,,1.0,,1.0,819.0,1023.0,,4.0,1.0,Excellent
4750 Butgenbach,Apartment,Apartment,335000.0,for sale,,,,,,1.0,,1.0,,,,,,
4101 Jemeppe,Apartment,Apartment,347300.0,for sale,3.0,115.0,,0.0,,1.0,,,,,,,,New
2300 Turnhout,Apartment,Apartment,197000.0,for sale,1.0,58.0,,0.0,,1.0,6.0,0.0,,,,3.0,,New
3080 Tervuren,House,Residence,745000.0,for sale,5.0,394.0,,0.0,,0.0,,1.0,500.0,,,,,
7700 Luingne,House,Residence,275000.0,for sale,3.0,220.0,,,,1.0,35.0,1.0,,1448.0,,2.0,,
2300 Turnhout,Apartment,Apartment,212000.0,for sale,1.0,68.0,,0.0,,1.0,8.0,0.0,,,,3.0,,New
1410 Waterloo,House,Residence,465000.0,for sale,3.0,165.0,1.0,,,1.0,,1.0,,195.0,,2.0,,
1180 Ukkel,Apartment,Apartment,595000.0,for sale,3.0,114.0,0.0,0.0,,1.0,5.0,0.0,,,,3.0,0.0,New
1040 Etterbeek,House,Residence,2590000.0,for sale,7.0,720.0,0.0,1.0,1.0,1.0,50.0,1.0,350.0,450.0,,2.0,0.0,Excellent
4102 Ougree,Apartment,Apartment,275000.0,for sale,1.0,73.0,,0.0,,1.0,,0.0,,,,,,
8340 Sijsele,House,Bungalow,415000.0,for sale,3.0,187.0,1.0,,,1.0,25.0,1.0,625.0,959.0,,4.0,,Normal
5000 Namur,House,Mixed Building,280000.0,for sale,6.0,174.0,,0.0,,0.0,,0.0,,,,2.0,,To be renovated
9470 Denderleeuw,House,Residence,325000.0,for sale,3.0,189.0,1.0,0.0,,1.0,30.0,1.0,105.0,310.0,,2.0,0.0,Normal
1410 Waterloo,Apartment,Penthouse,,for sale,2.0,,,0.0,,1.0,,0.0,,,,3.0,,New
9850 Hansbeke,House,Cottage,1750000.0,for sale,4.0,272.0,,,,1.0,20.0,1.0,,25310.0,,4.0,,
6850 Paliseul,House,Residence,99000.0,for sale,2.0,105.0,0.0,0.0,,0.0,,0.0,,,,3.0,0.0,To be renovated
1060 Sint Gillis,Apartment,Studio,195000.0,for sale,0.0,30.0,,0.0,,1.0,6.0,0.0,,,,,0.0,Excellent
8680 Koekelare,House,Residence,460000.0,for sale,3.0,170.0,,,,1.0,38.0,0.0,,742.0,,2.0,,
8300 Knokke,Apartment,Apartment,549000.0,for sale,2.0,83.0,,,,1.0,,0.0,,,,2.0,,Excellent
4020 Bressoux,House,Residence,165000.0,for sale,3.0,134.0,,,,1.0,15.0,0.0,,72.0,,2.0,,
9500 Geraardsbergen,House,Residence,1150000.0,for sale,4.0,350.0,0.0,,,1.0,,1.0,7000.0,7200.0,,4.0,0.0,To renovate
5000 Namur,Apartment,Apartment,,for sale,2.0,107.0,,0.0,,1.0,12.0,0.0,,,,2.0,0.0,New
3320 Hoegaarden,House,Residence,295000.0,for sale,2.0,107.0,,0.0,,0.0,,1.0,,,,,,
1910 Kampenhout,House,Residence,719000.0,for sale,5.0,292.0,,,,1.0,,1.0,1548.0,1548.0,,4.0,,
1410 Waterloo,House,Villa,795000.0,for sale,5.0,310.0,0.0,0.0,,1.0,,1.0,889.0,889.0,,4.0,0.0,Excellent
4000 Liege,House,Mixed Building,819000.0,for sale,5.0,337.0,,0.0,,1.0,25.0,1.0,70.0,255.0,,2.0,0.0,Normal
1470 Genappe,House,Residence,345000.0,for sale,3.0,126.0,0.0,,,1.0,17.0,1.0,200.0,300.0,,3.0,0.0,Excellent
1030 Schaarbeek,Apartment,Apartment,184900.0,for sale,3.0,118.0,,0.0,,0.0,,0.0,,,,3.0,,
2260 Westerlo,House,Residence,421443.0,for sale,3.0,176.0,0.0,0.0,,1.0,,1.0,,468.0,,2.0,,New
4000 Liege,House,Villa,234000.0,for sale,2.0,75.0,,0.0,,1.0,7.0,,,,,3.0,,Normal
8880 Ledegem,House,Residence,341050.0,for sale,3.0,1.0,0.0,,,,,1.0,,379.0,,3.0,,Excellent
2800 Mechelen,House,Residence,337000.0,for sale,3.0,140.0,0.0,,,1.0,,1.0,,135.0,,2.0,,Fully renovated
1400 Nivelles,House,Residence,649000.0,for sale,4.0,243.0,,0.0,1.0,1.0,,1.0,395.0,395.0,,3.0,0.0,Excellent
7340 Colfontaine,House,Residence,129900.0,for sale,2.0,110.0,,0.0,,1.0,,1.0,,230.0,,3.0,,Normal
8310 Assebroek,House,Residence,285000.0,for sale,4.0,152.0,,,,1.0,,1.0,,323.0,,2.0,,
3500 Hasselt,Apartment,Apartment,270000.0,for sale,2.0,89.0,,0.0,,1.0,49.0,0.0,,,,,,Normal
8660 De Panne,Apartment,Apartment,399000.0,for sale,3.0,129.0,,0.0,,1.0,,0.0,,,,,,Fully renovated
2340 Beerse,Apartment,Ground Floor,295000.0,for sale,3.0,99.0,,0.0,,0.0,,0.0,,,,3.0,,Normal
6210 Frasnes Lez Gosselies,House,Residence,420000.0,for sale,3.0,154.0,,0.0,,1.0,19.0,1.0,239.0,239.0,,3.0,,New
9100 Sint Niklaas,House,Residence,405000.0,for sale,4.0,168.0,,0.0,,1.0,,1.0,,117.0,,2.0,,Excellent
1350 Orp Le Grand,House,Residence,399000.0,for sale,4.0,309.0,0.0,0.0,,1.0,,1.0,298.0,500.0,,3.0,0.0,New
1180 Ukkel,Apartment,Penthouse,475000.0,for sale,1.0,75.0,0.0,0.0,,1.0,18.0,0.0,,,,4.0,0.0,New
1831 Diegem,Apartment,Apartment,530000.0,for sale,,,,,,0.0,,0.0,,,,,,New
3970 Leopoldsburg,Apartment,Penthouse,300000.0,for sale,2.0,86.0,,0.0,,1.0,33.0,0.0,,,,2.0,,New
4000 Liege,House,Residence,225000.0,for sale,3.0,120.0,,,,1.0,25.0,1.0,,108.0,,2.0,,Normal
8710 Wielsbeke,Apartment,Apartment,209000.0,for sale,2.0,111.0,,0.0,,1.0,,0.0,,,,,,
8900 Ieper,House,Residence,640000.0,for sale,4.0,231.0,,,,1.0,,1.0,,886.0,,4.0,,Excellent
7973 Stambruges,House,Residence,430000.0,for sale,3.0,407.0,,0.0,,1.0,40.0,1.0,199.0,2302.0,,4.0,,Normal
1800 Vilvoorde,House,Residence,285000.0,for sale,2.0,88.0,0.0,0.0,,1.0,,0.0,,120.0,,2.0,0.0,Normal
2381 Weelde,House,Residence,459000.0,for sale,3.0,242.0,0.0,0.0,,1.0,,1.0,,161.0,,3.0,,New
8310 Assebroek,Apartment,Apartment,199000.0,for sale,1.0,65.0,0.0,,,1.0,12.0,,,,,,,Normal
2050 Antwerp,Apartment,Apartment,275000.0,for sale,3.0,110.0,,,,1.0,,0.0,,,,,,
6140 Fontaine L Eveque,House,Residence,199000.0,for sale,3.0,170.0,,0.0,,1.0,,1.0,,,,3.0,0.0,To be renovated
4970 Stavelot,House,Residence,99000.0,for sale,5.0,256.0,0.0,0.0,,1.0,20.0,1.0,75.0,292.0,,2.0,0.0,To be renovated
6032 Mont Sur Marchienne,Apartment,Duplex,249000.0,for sale,3.0,130.0,,,,1.0,28.0,1.0,100.0,,,3.0,,
7100 La Louviere,Apartment,Apartment,219000.0,for sale,2.0,84.0,,,,1.0,8.0,0.0,,,,,,Normal
2400 Mol,House,Villa,585000.0,for sale,3.0,337.0,,0.0,,0.0,,1.0,,1559.0,,4.0,,
9660 Brakel,House,Villa,1950000.0,for sale,5.0,519.0,,0.0,,1.0,,1.0,,6044.0,,4.0,1.0,Normal
8200 Sint Michiels,House,Residence,620000.0,for sale,4.0,176.0,,,,1.0,,1.0,,268.0,,2.0,,
4500 Huy,House,Residence,424306.0,for sale,4.0,147.0,,,,,,1.0,,1370.0,,4.0,,New
7370 Dour,House,Residence,345000.0,for sale,3.0,222.0,0.0,,,1.0,14.0,1.0,698.0,854.0,,3.0,0.0,Normal
3110 Rotselaar,House,Residence,620000.0,for sale,5.0,220.0,1.0,,,,,1.0,,,,4.0,,Normal
1315 Incourt,House,Residence,514084.0,for sale,4.0,,,,0.0,0.0,,0.0,,1030.0,,,,New
5550 Bohan,House,Residence,165000.0,for sale,5.0,163.0,1.0,,,1.0,,1.0,,279.0,,3.0,,
6000 Charleroi,House,Residence,360000.0,for sale,4.0,277.0,,0.0,,1.0,,1.0,125.0,125.0,,2.0,,Normal
5542 Blaimont,House,Chalet,68500.0,for sale,,40.0,,1.0,,1.0,,0.0,,343.0,,4.0,,
3550 Heusden Zolder,House,Residence,240000.0,for sale,3.0,178.0,,0.0,,1.0,,1.0,,800.0,,3.0,,
1082 Berchem Sainte Agathe,Apartment,Apartment,199000.0,for sale,2.0,86.0,,0.0,,1.0,7.0,0.0,,,,,,Normal
1040 Etterbeek,House,Residence,499000.0,for sale,3.0,189.0,,0.0,,1.0,30.0,0.0,,110.0,,2.0,,Excellent
9472 Iddergem,House,Villa,880000.0,for sale,6.0,342.0,0.0,0.0,,1.0,15.0,1.0,790.0,1516.0,,4.0,0.0,Excellent
1020 Laken,Apartment,Apartment,265000.0,for sale,2.0,78.0,1.0,,,1.0,18.0,1.0,,,,,,Normal
1480 Tubize,House,Mixed Building,275000.0,for sale,3.0,,,,,,,,,,,2.0,,To be renovated
9600 Ronse,House,Master House,350000.0,for sale,7.0,420.0,1.0,0.0,,1.0,23.0,1.0,600.0,706.0,,2.0,0.0,To be renovated
6640 Morhet,House,Residence,300000.0,for sale,3.0,,,0.0,,1.0,,1.0,,660.0,,3.0,,Normal
6464 Forges,House,Residence,321040.0,for sale,3.0,158.0,,,,,,1.0,,1060.0,,4.0,,New
2170 Merksem,Apartment,Apartment,187000.0,for sale,2.0,84.0,,0.0,,1.0,2.0,0.0,,,,2.0,,Normal
6044 Roux,House,Villa,545000.0,for sale,4.0,310.0,0.0,,1.0,1.0,,1.0,,4805.0,,4.0,,Excellent
1160 Oudergem,Apartment,Apartment,215000.0,for sale,1.0,56.0,0.0,0.0,,0.0,,0.0,,,,2.0,0.0,To renovate
3840 Bommershoven,House,Residence,240000.0,for sale,2.0,143.0,,,,1.0,24.0,1.0,,560.0,,2.0,,
5580 Jemelle,Apartment,Apartment,134500.0,for sale,2.0,53.0,1.0,0.0,,0.0,,0.0,,,,2.0,0.0,Fully renovated
1480 Tubize,House,Residence,330000.0,for sale,4.0,180.0,,0.0,,1.0,,1.0,,426.0,,2.0,,Normal
8420 De Haan,Apartment,Apartment,439000.0,for sale,2.0,107.0,,0.0,,1.0,14.0,0.0,,,,,,New
8400 Oostende,House,Residence,295000.0,for sale,3.0,153.0,,,,0.0,,1.0,79.0,188.0,,,,To be renovated
9667 Horebeke,House,Residence,471559.0,for sale,3.0,187.0,,,,,,,,805.0,,4.0,,New
9570 Deftinge,House,Residence,245000.0,for sale,4.0,174.0,,0.0,,1.0,16.0,1.0,1210.0,1340.0,,3.0,,To be renovated
