locality,property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,is_house,postal_code,wallonie_bx,building_state
1070 Anderlecht,House,Residence,475000.0,3.0,134.0,1.0,0.0,1.0,0.0,1.0,0.0,321.0,3.0,0.0,2.0,0.724,0.276,1,1070,1,4.0
2100 Deurne,Apartment,Apartment,325000.0,1.0,92.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,2.9,1.1,0,2100,0,9.0
3090 Overijse,House,Residence,658000.0,2.0,180.0,0.0,0.0,1.0,0.0,1.0,0.0,490.0,4.0,0.0,3.0,4.7,0.123,1,3090,0,6.0
8450 Bredene,House,Residence,269000.0,3.0,147.0,0.0,0.0,1.0,24.0,0.0,0.0,86.0,2.0,0.0,1.0,3.7,0.161,1,8450,0,5.0
7712 Herseaux,House,Mixed Building,332000.0,3.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,271.0,2.707469745444429,0.0,1.0,1.4,0.022,1,7712,1,5.0
1330 Rixensart,House,Villa,895000.0,5.0,300.0,1.0,0.0,1.0,24.0,1.0,250.0,701.0,4.0,1.0,2.0,0.245,0.389,1,1330,1,9.0
5150 Floreffe,House,Residence,415407.0,4.0,147.0,0.0,0.0,0.0,0.0,1.0,0.0,1688.0,4.0,0.0,2.0,1.2,0.13,1,5150,1,10.0
2020 Antwerp,Apartment,Apartment,199000.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.9,1.2,0,2020,0,5.0
7390 Quaregnon,House,Residence,175000.0,3.0,154.0,0.0,0.0,1.0,0.0,1.0,0.0,315.0,3.0,0.0,2.0,1.9,0.118,1,7390,1,5.0
9450 Haaltert,House,Residence,199000.0,3.0,169.0,1.0,0.0,1.0,0.0,1.0,0.0,142.0,2.0,0.0,2.0,4.8,0.143,1,9450,0,5.0
4000 Liege,House,Mixed Building,749000.0,8.0,210.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.436,0.028,1,4000,1,9.0
4845 Jalhay,House,Villa,448000.0,4.0,185.0,0.0,0.0,1.0,18.0,1.0,0.0,1237.0,4.0,0.0,2.0,5.4,0.234,1,4845,1,5.0
3520 Zonhoven,House,Residence,885000.0,4.0,365.0,0.0,0.0,1.0,40.0,1.0,0.0,1233.0,2.0,1.0,3.0,0.505,0.472,1,3520,0,5.0
8890 Moorslede,House,Residence,120000.0,4.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,7.2,0.229,1,8890,0,5.0
1200 Sint-Lambrechts-Woluwe,Apartment,Penthouse,1650000.0,3.0,204.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,2.0,0.0,2.0,2.8,0.092,0,1200,1,10.0
1370 Jodoigne,House,Residence,175000.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,123.0,3.0,0.0,2.0,2.472569206067988,0.427,1,1370,1,4.0
1081 Koekelberg,Apartment,Apartment,195000.0,1.0,71.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.767,0.02,0,1081,1,5.0
8370 Blankenberge,Apartment,Apartment,419000.0,3.0,136.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,1.0,0.42,0.215,0,8370,0,5.0
1480 Tubize,House,Residence,250000.0,3.0,120.0,0.0,0.0,0.0,0.0,1.0,157.0,248.0,2.0,0.0,2.0,0.527,0.016,1,1480,1,6.0
5590 Ciney,Apartment,Apartment,275000.0,2.0,137.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.564,0.348,0,5590,1,6.0
1380 Lasne,House,Villa,1190000.0,6.0,526.0,0.0,0.0,1.0,0.0,1.0,0.0,5342.0,4.0,1.0,3.0,5.2,0.256,1,1380,1,4.0
4000 Liege,House,Residence,209000.0,5.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,258.0,3.0,0.0,2.0,0.503,0.24,1,4000,1,5.0
2440 Geel,Apartment,Apartment,275000.0,2.0,89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.9,0.309,0,2440,0,6.0
9600 Ronse,Apartment,Apartment,241500.0,2.0,87.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,1.1,0.044,0,9600,0,5.0
9500 Geraardsbergen,House,Residence,449000.0,3.0,115.0,1.0,0.0,1.0,0.0,1.0,0.0,558.0,3.0,0.0,2.0,2.3,0.013,1,9500,0,10.0
8370 Blankenberge,House,Residence,330000.0,4.0,173.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,2.707469745444429,0.0,2.0,0.636,0.143,1,8370,0,4.0
4300 Waremme,Apartment,Apartment,339000.0,3.0,136.0,0.0,0.0,1.0,20.0,1.0,550.0,0.0,2.0,0.0,2.0,1.4,0.468,0,4300,1,5.0
9300 Aalst,House,Residence,799000.0,5.0,219.0,0.0,0.0,1.0,0.0,1.0,0.0,624.0,3.0,0.0,2.0,1.5,0.644,1,9300,0,6.0
8700 Tielt,Apartment,Apartment,295000.0,2.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.394,0.28,0,8700,0,10.0
1410 Waterloo,Apartment,Apartment,345000.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,1.0,1.0,1.6,0.267,0,1410,1,9.0
8300 Knokke,Apartment,Apartment,530000.0,4.0,114.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.831,0.402,0,8300,0,4.0
8000 Brugge,Apartment,Apartment,255000.0,2.0,70.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.604,0.2,0,8000,0,6.0
6040 Jumet,House,Residence,90000.0,3.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,3.0,0.0,2.0,3.0,0.12,1,6040,1,4.0
3000 Leuven,Apartment,Studio,180000.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.3,0.19,0,3000,0,5.0
1050 Elsene,Apartment,Triplex,595000.0,3.0,190.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.4,0.028,0,1050,1,8.0
1330 Rixensart,House,Residence,795000.0,4.0,208.0,1.0,0.0,1.0,14.0,1.0,559.0,559.0,4.0,0.0,2.0,0.245,0.389,1,1330,1,10.0
1020 Laken,Apartment,Apartment,399000.0,3.0,133.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,0.821,0.43,0,1020,1,10.0
2560 Nijlen,Apartment,Apartment,315000.0,2.0,96.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,3.0,0.0,1.0,0.185,0.124,0,2560,0,10.0
1180 Ukkel,Apartment,Apartment,645000.0,3.0,153.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,1.1,0.147,0,1180,1,6.0
7370 Dour,House,Residence,240000.0,4.0,248.0,0.0,0.0,1.0,37.0,1.0,135.0,340.0,3.0,0.0,2.0,4.3,0.42,1,7370,1,3.0
6940 Durbuy,House,Residence,585000.0,5.0,309.0,0.0,0.0,1.0,37.0,1.0,1078.0,1218.0,4.0,1.0,2.0,6.7,0.184,1,6940,1,5.0
9890 Gavere,Apartment,Duplex,447375.0,3.0,148.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,0.0,1.0,1.7,0.259,0,9890,0,10.0
1210 Sint-Joost-ten-Node,Apartment,Apartment,140000.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.892,0.129,0,1210,1,4.0
5100 Dave,Apartment,Apartment,189000.0,2.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.7,0.151,0,5100,1,6.0
8400 Oostende,Apartment,Apartment,499000.0,2.0,98.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,3.0,0.0,1.0,2.2,0.83,0,8400,0,9.0
1160 Oudergem,Apartment,Apartment,420000.0,2.0,110.0,0.0,0.0,1.0,115.0,0.0,0.0,0.0,2.0,0.0,2.0,1.7,0.065,0,1160,1,9.0
3520 Zonhoven,House,Residence,585000.0,4.0,253.0,0.0,0.0,1.0,16.0,1.0,0.0,521.0,4.0,0.0,2.0,1.7,0.964,1,3520,0,5.0
9050 Gentbrugge,Apartment,Duplex,349000.0,2.0,119.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,2.0,0.81,0.262,0,9050,0,6.0
2860 Sint-Katelijne-Waver,House,Mansion,1500000.0,8.0,660.0,1.0,0.0,1.0,10.0,1.0,0.0,29224.0,4.0,0.0,4.0,4.4,0.215,1,2860,0,5.0
9550 Herzele,House,Residence,477165.0,4.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,3.0,0.0,2.0,5.7,0.47,1,9550,0,10.0
2570 Duffel,Apartment,Apartment,367500.0,2.0,93.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,0.814,0.108,0,2570,0,10.0
6850 Paliseul,House,Residence,99000.0,2.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.3,0.033,1,6850,1,4.0
7800 Ath,House,Residence,295000.0,4.0,151.0,0.0,0.0,1.0,30.0,1.0,533.0,662.0,3.0,0.0,2.0,1.1,0.254,1,7800,1,6.0
4000 Glain,Apartment,Apartment,80000.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.3,0.205,0,4000,1,5.0
8930 Rekkem,House,Residence,269000.0,3.0,130.0,1.0,0.0,1.0,0.0,1.0,120.0,283.0,3.0,0.0,2.0,5.1,0.146,1,8930,0,6.0
1932 Woluwe-saint-Etienne,Apartment,Duplex,449000.0,3.0,127.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.3,0.343,0,1932,0,9.0
2930 Brasschaat,House,Residence,460000.0,4.0,160.0,0.0,0.0,1.0,0.0,1.0,110.0,222.0,2.0,0.0,2.0,5.5,0.513,1,2930,0,6.0
2280 Grobbendonk,Apartment,Ground Floor,400000.0,1.0,103.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,3.0,0.0,1.0,2.9,0.058,0,2280,0,6.0
7180 Seneffe,House,Master House,325000.0,5.0,474.0,1.0,0.0,1.0,0.0,1.0,0.0,1300.0,4.0,0.0,2.0,4.7,0.607,1,7180,1,6.0
8890 Moorslede,Apartment,Apartment,150000.0,3.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,8.6,0.207,0,8890,0,6.0
