property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,postal_code,wallonie_bx,building_state
House,Residence,269000.0,3.0,110.0,1.0,0.0,1.0,0.0,1.0,0.0,120.0,3.0,0.0,2.0,1.5,0.403,8500,0,6.0
House,Residence,599000.0,4.0,176.0,0.0,0.0,1.0,59.0,1.0,855.0,961.0,4.0,1.0,3.0,2.1,0.821,6940,1,5.0
House,Residence,265000.0,2.0,133.0,0.0,0.0,1.0,10.0,0.0,0.0,73.0,2.0,0.0,3.0,1.2,0.219,1400,1,5.0
House,Residence,475000.0,3.0,134.0,1.0,0.0,1.0,0.0,1.0,0.0,321.0,3.0,0.0,2.0,0.724,0.276,1070,1,4.0
Apartment,Apartment,325000.0,1.0,92.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,2.9,1.1,2100,0,9.0
House,Residence,658000.0,2.0,180.0,0.0,0.0,1.0,0.0,1.0,0.0,490.0,4.0,0.0,3.0,4.7,0.123,3090,0,6.0
House,Residence,269000.0,3.0,147.0,0.0,0.0,1.0,24.0,0.0,0.0,86.0,2.0,0.0,1.0,3.7,0.161,8450,0,5.0
House,Mixed Building,332000.0,3.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,271.0,2.707469745444429,0.0,1.0,1.4,0.022,7712,1,5.0
House,Villa,895000.0,5.0,300.0,1.0,0.0,1.0,24.0,1.0,250.0,701.0,4.0,1.0,2.0,0.245,0.389,1330,1,9.0
House,Residence,415407.0,4.0,147.0,0.0,0.0,0.0,0.0,1.0,0.0,1688.0,4.0,0.0,2.0,1.2,0.13,5150,1,10.0
Apartment,Apartment,199000.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.9,1.2,2020,0,5.0
