locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km
3520 Zonhoven,House,Residence,885000,for sale,4.0,365.0,None,None,1.0,40.0,1.0,None,1233.0,2.0,1.0,None,3.0,0.505,0.472
6838 Corbion,House,Residence,349000,for sale,3.0,220.0,None,0.0,1.0,16.0,1.0,150.0,303.0,3.0,0.0,New,None,None,0.077
8890 Moorslede,House,Residence,120000,for sale,4.0,113.0,None,None,None,None,None,None,None,None,None,None,None,7.2,0.229
1200 Sint-Lambrechts-Woluwe,Apartment,Penthouse,1650000,for sale,3.0,204.0,None,None,1.0,46.0,0.0,None,None,2.0,None,New,2.0,2.8,0.092
1370 Jodoigne,House,Residence,175000,for sale,2.0,100.0,None,None,None,None,1.0,None,123.0,3.0,0.0,To be renovated,2.0,None,0.427
6660 Houffalize,House,Residence,145000,for sale,2.0,115.0,None,0.0,0.0,None,1.0,None,300.0,2.0,0.0,To be renovated,None,None,0.863
1081 Koekelberg,Apartment,Apartment,195000,for sale,1.0,71.0,None,None,1.0,2.0,0.0,None,None,3.0,None,None,None,0.767,0.02
8370 Blankenberge,Apartment,Apartment,419000,for sale,3.0,136.0,None,None,1.0,None,1.0,None,None,None,None,None,1.0,0.42,0.215
1480 Tubize,House,Residence,250000,for sale,3.0,120.0,None,0.0,0.0,None,1.0,157.0,248.0,2.0,None,Normal,2.0,0.527,0.016
5590 Ciney,Apartment,Apartment,275000,for sale,2.0,137.0,1.0,0.0,1.0,2.0,0.0,None,None,2.0,0.0,Normal,1.0,0.564,0.348
1380 Lasne,House,Villa,1190000,for sale,6.0,526.0,None,None,1.0,None,1.0,None,5342.0,4.0,1.0,To be renovated,3.0,5.2,0.256
9820 Merelbeke,Apartment,Apartment,398225,for sale,2.0,None,None,0.0,1.0,None,1.0,None,None,3.0,None,New,None,1.8,1.1
4000 Liege,House,Residence,209000,for sale,5.0,150.0,None,0.0,0.0,None,1.0,None,258.0,3.0,None,None,2.0,0.503,0.24
2440 Geel,Apartment,Apartment,275000,for sale,2.0,89.0,None,0.0,1.0,None,0.0,None,None,2.0,None,Normal,1.0,1.9,0.309
9600 Ronse,Apartment,Apartment,241500,for sale,2.0,87.0,None,0.0,1.0,12.0,None,None,None,2.0,None,None,1.0,1.1,0.044
9500 Geraardsbergen,House,Residence,449000,for sale,3.0,115.0,1.0,None,1.0,None,1.0,None,558.0,3.0,0.0,New,2.0,2.3,0.013
