locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km
7140 Morlanwelz,House,Residence,130000,for sale,3.0,152.0,None,0.0,0.0,None,1.0,None,None,2.0,0.0,To be renovated,2.0,0.659,0.278
6536 Thuillies,House,Villa,385000,for sale,4.0,210.0,1.0,None,1.0,None,1.0,2300.0,None,4.0,0.0,To be renovated,None,5.1,0.107
4420 Saint-Nicolas,House,Residence,159000,for sale,2.0,85.0,1.0,0.0,1.0,7.0,1.0,20.0,80.0,2.0,0.0,To renovate,2.0,2.7,0.01
4520 Wanze,House,Residence,335000,for sale,4.0,139.0,1.0,0.0,1.0,55.0,1.0,1400.0,1686.0,4.0,0.0,Normal,2.0,3.3,9.2
6790 Aubange,Apartment,Apartment,245000,for sale,2.0,77.0,1.0,0.0,0.0,None,0.0,None,None,2.0,0.0,Normal,1.0,0.374,0.017
1140 Evere,Apartment,Apartment,295000,for sale,1.0,75.0,None,None,1.0,None,1.0,None,None,None,None,Normal,None,1.3,0.11
2560 Nijlen,House,Residence,349000,for sale,3.0,186.0,None,0.0,1.0,None,1.0,None,395.0,3.0,None,None,2.0,0.665,0.578
9230 Wetteren,House,Residence,454000,for sale,4.0,181.0,1.0,0.0,None,None,1.0,None,386.0,3.0,None,New,2.0,0.567,0.025
1180 Ukkel,Apartment,Apartment,None,for sale,2.0,81.0,1.0,0.0,1.0,35.0,1.0,55.0,None,2.0,0.0,Excellent,1.0,2.0,0.339
6830 Bouillon,House,Residence,140000,for sale,3.0,209.0,None,None,1.0,None,1.0,520.0,520.0,2.0,None,Excellent,None,None,3.3
1400 Nivelles,House,Residence,310000,for sale,4.0,197.0,1.0,0.0,1.0,33.0,1.0,None,124.0,2.0,0.0,Normal,2.0,1.2,0.022
1300 Wavre,House,Villa,1150000,for sale,6.0,350.0,1.0,0.0,1.0,30.0,1.0,2500.0,4800.0,4.0,1.0,Normal,3.0,0.739,0.31
4500 Huy,Apartment,Apartment,199500,for sale,3.0,110.0,1.0,0.0,1.0,None,0.0,None,None,3.0,0.0,Normal,1.0,0.815,0.067
3000 Leuven,Apartment,Studio,299000,for sale,1.0,37.0,None,0.0,1.0,11.0,None,None,None,2.0,0.0,Normal,None,0.312,0.22
1030 Schaarbeek,Apartment,Apartment,375000,for sale,3.0,131.0,None,0.0,1.0,16.0,1.0,50.0,None,None,None,Normal,2.0,1.4,0.048
4651 Battice,House,Residence,360000,for sale,2.0,116.0,1.0,0.0,1.0,None,1.0,None,168.0,2.0,0.0,Excellent,None,8.5,0.169
2870 Puurs-Sint-Amands,Apartment,Apartment,240000,for sale,2.0,111.0,None,None,1.0,None,None,None,None,2.0,None,Normal,None,1.2,0.125
1090 Jette,Apartment,Apartment,199000,for sale,1.0,58.0,1.0,0.0,1.0,None,0.0,None,None,2.0,None,Normal,1.0,0.727,0.113
1000 Brussels,Apartment,Apartment,195000,for sale,0.0,39.0,None,None,1.0,None,0.0,None,None,None,None,Normal,None,0.88,0.074
8460 Oudenburg,House,Villa,1090000,for sale,6.0,None,None,None,1.0,None,1.0,None,13000.0,2.0,None,None,3.0,10.5,0.086
1140 Evere,Apartment,Penthouse,435000,for sale,3.0,107.0,1.0,0.0,1.0,22.0,0.0,None,None,2.0,0.0,New,2.0,2.0,0.459
2920 Kalmthout,House,Residence,448439,for sale,3.0,182.0,None,0.0,1.0,None,1.0,None,485.0,3.0,None,New,2.0,3.2,0.048
1080 Sint-Jans-Molenbeek,Apartment,Apartment,199000,for sale,3.0,110.0,None,0.0,1.0,10.0,0.0,None,None,None,None,Normal,2.0,1.1,0.087
1030 Schaarbeek,Apartment,Apartment,649000,for sale,5.0,186.0,None,1.0,1.0,11.0,0.0,None,None,None,0.0,Normal,2.0,0.81,0.243
4577 Modave,House,Residence,299000,for sale,3.0,None,None,None,1.0,None,1.0,None,None,2.0,None,New,None,None,0.199
6700 Arlon,House,Residence,590000,for sale,3.0,179.0,None,0.0,1.0,None,1.0,None,624.0,2.0,None,New,2.0,3.9,0.905
2480 Dessel,House,Residence,325000,for sale,5.0,196.0,None,0.0,1.0,None,1.0,None,728.0,4.0,None,To be renovated,3.0,6.5,0.216
1541 Sint-Pieters-Kapelle,House,Residence,465000,for sale,3.0,160.0,1.0,0.0,1.0,38.0,1.0,496.0,616.0,3.0,0.0,Normal,3.0,2.9,0.013
1120 Neder-Over-Heembeek,Apartment,Apartment,220000,for sale,1.0,None,None,None,0.0,None,0.0,None,None,None,None,None,1.0,3.1,0.122
7033 Cuesmes,House,Residence,220000,for sale,4.0,156.0,None,0.0,1.0,80.0,1.0,700.0,878.0,2.0,0.0,Fully renovated,None,3.2,0.248
4530 Fize-Fontaine,House,Residence,399000,for sale,3.0,166.0,None,0.0,0.0,None,1.0,None,843.0,None,None,New,None,4.5,0.246
1380 Lasne,House,Residence,1090000,for sale,4.0,367.0,None,0.0,1.0,100.0,1.0,8757.0,9124.0,4.0,1.0,Excellent,4.0,5.9,0.371
8400 Oostende,Apartment,Apartment,170000,for sale,2.0,75.0,None,None,1.0,3.0,0.0,None,None,None,0.0,None,None,2.4,0.105
8791 Beveren-Leie,House,Residence,429000,for sale,3.0,150.0,1.0,0.0,1.0,20.0,1.0,None,None,None,None,New,2.0,3.0,0.709
2490 Balen,House,Residence,289000,for sale,3.0,193.0,None,None,1.0,None,1.0,None,882.0,4.0,None,None,None,1.7,0.363
8400 Oostende,House,Residence,365000,for sale,3.0,166.0,None,None,1.0,24.0,0.0,None,None,None,None,Fully renovated,1.0,0.884,0.283
4171 Poulseur,House,Residence,199000,for sale,4.0,238.0,1.0,0.0,1.0,None,1.0,None,375.0,4.0,0.0,Normal,2.0,1.7,0.045
3200 Aarschot,Apartment,Apartment,258952,for sale,1.0,76.0,1.0,None,1.0,None,1.0,None,None,None,None,None,None,2.0,0.44
1140 Evere,Apartment,Apartment,342000,for sale,1.0,70.0,1.0,0.0,1.0,3.0,1.0,None,None,2.0,0.0,New,1.0,1.4,0.083
8310 Sint-Kruis,House,Mixed Building,430000,for sale,4.0,270.0,1.0,None,0.0,None,0.0,None,None,2.0,None,Fully renovated,1.0,3.4,0.207
7641 Bruyelle,House,Residence,260000,for sale,4.0,160.0,1.0,None,1.0,None,1.0,None,430.0,3.0,0.0,Fully renovated,2.0,2.6,0.178
3090 Overijse,House,Residence,629000,for sale,4.0,194.0,None,None,1.0,None,1.0,None,749.0,4.0,None,Excellent,None,6.9,0.848
1410 Waterloo,House,Villa,795000,for sale,5.0,310.0,1.0,0.0,1.0,None,1.0,889.0,889.0,4.0,0.0,Excellent,3.0,1.6,0.267
1081 Koekelberg,Apartment,Apartment,189000,for sale,2.0,85.0,None,0.0,1.0,10.0,0.0,None,None,None,0.0,None,1.0,0.767,0.02
None,House,Chalet,None,for sale,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2400 Mol,House,Residence,189500,for sale,2.0,None,None,None,None,None,None,None,None,None,None,None,None,5.2,1.2
7190 Écaussinnes-d'Enghien,House,Residence,325000,for sale,3.0,197.0,None,None,1.0,18.0,1.0,None,287.0,3.0,None,None,None,0.472,0.225
1500 Halle,Apartment,Apartment,255000,for sale,2.0,83.0,None,0.0,1.0,4.0,0.0,None,None,2.0,None,Normal,1.0,1.1,0.106
6000 Charleroi,House,Residence,180000,for sale,4.0,135.0,None,0.0,0.0,None,1.0,237.0,300.0,2.0,None,Normal,2.0,2.5,0.166
4300 Oleye,House,Residence,460358,for sale,3.0,192.0,None,None,None,None,1.0,None,1363.0,4.0,None,New,2.0,3.5,0.158
9308 Gijzegem,House,Residence,648000,for sale,4.0,239.0,1.0,None,1.0,55.0,1.0,None,1164.0,3.0,None,Normal,2.0,3.2,0.066
2170 Merksem,Apartment,Apartment,245000,for sale,2.0,88.0,None,None,1.0,6.0,None,None,None,1.0,None,Fully renovated,None,1.3,0.237
1330 Rixensart,Apartment,Apartment,330000,for sale,2.0,86.0,1.0,0.0,0.0,None,0.0,None,None,None,0.0,Excellent,1.0,0.245,0.389
6000 Charleroi,House,Residence,239000,for sale,4.0,None,None,None,1.0,None,None,None,None,3.0,None,None,None,1.2,0.266
1180 Ukkel,Apartment,Apartment,395000,for sale,3.0,120.0,1.0,None,1.0,36.0,0.0,None,None,2.0,0.0,To be renovated,2.0,2.2,0.403
8470 Gistel,House,Residence,429643,for sale,4.0,186.0,1.0,None,1.0,None,1.0,None,320.0,3.0,None,Excellent,2.0,10.8,0.681
3680 Maaseik,Apartment,Apartment,320000,for sale,2.0,91.0,None,None,1.0,15.0,None,None,None,None,None,None,None,None,0.326
9520 Sint-Lievens-Houtem,House,Residence,336000,for sale,2.0,81.0,1.0,None,1.0,7.0,1.0,110.0,170.0,4.0,None,New,1.0,6.1,0.415
2300 Turnhout,Apartment,Apartment,225000,for sale,1.0,64.0,None,0.0,0.0,None,0.0,None,None,2.0,None,New,1.0,0.841,0.088
4000 Liege,House,Residence,189000,for sale,2.0,100.0,None,0.0,1.0,None,1.0,866.0,966.0,4.0,0.0,To be renovated,1.0,1.9,0.637
6821 Lacuisine,House,Residence,185000,for sale,3.0,173.0,None,None,0.0,None,1.0,None,967.0,None,None,To renovate,None,3.0,0.076
1410 Waterloo,House,Villa,450000,for sale,3.0,165.0,None,None,1.0,30.0,1.0,None,770.0,4.0,None,None,2.0,1.1,0.207
3890 Jeuk,House,Cottage,339000,for sale,3.0,160.0,None,0.0,1.0,35.0,1.0,336.0,690.0,3.0,None,None,None,5.9,0.405
3890 Gingelom,House,Residence,84500,for sale,2.0,105.0,None,None,0.0,None,1.0,None,797.0,None,None,None,None,4.5,0.508
1000 Brussels,Apartment,Apartment,356000,for sale,2.0,None,None,0.0,1.0,None,None,None,None,3.0,None,New,None,1.6,0.529
1210 Sint-Joost-ten-Node,Apartment,Apartment,219000,for sale,2.0,80.0,1.0,0.0,0.0,None,0.0,None,None,2.0,0.0,To renovate,1.0,0.926,0.092
3500 Hasselt,Apartment,Penthouse,642007,for sale,2.0,132.0,None,None,1.0,None,1.0,None,None,2.0,None,Excellent,2.0,1.7,0.272
3920 Lommel,House,Bungalow,570000,for sale,3.0,112.0,None,0.0,0.0,None,0.0,None,759.0,4.0,None,To be renovated,1.0,1.9,0.621
1050 Elsene,Apartment,Apartment,225000,for sale,2.0,65.0,None,None,1.0,4.0,0.0,None,None,2.0,None,None,None,0.995,0.239
7080 La Bouverie,House,Residence,85000,for sale,4.0,155.0,None,0.0,1.0,None,1.0,None,177.0,2.0,None,To be renovated,2.0,2.7,0.731
4300 Waremme,House,Mixed Building,395000,for sale,None,None,None,None,0.0,None,0.0,None,258.0,2.0,None,None,1.0,0.8,0.183
9230 Westrem,House,Residence,537676,for sale,4.0,207.0,None,None,None,None,None,None,581.0,3.0,None,New,2.0,3.6,0.089
1410 Waterloo,House,Residence,1399000,for sale,4.0,293.0,1.0,None,1.0,None,1.0,1000.0,1389.0,4.0,1.0,Normal,3.0,1.6,0.267
4420 Saint-Nicolas,House,Residence,159000,for sale,3.0,269.0,None,0.0,1.0,30.0,0.0,None,None,2.0,0.0,To be renovated,3.0,1.2,0.064
2580 Putte,House,Residence,495000,for sale,3.0,269.0,None,0.0,1.0,None,1.0,None,251.0,None,None,New,2.0,4.3,0.108
6250 Presles,House,Villa,695000,for sale,5.0,400.0,1.0,None,1.0,None,1.0,None,None,None,None,None,None,5.7,0.181
9000 Gent,Apartment,Apartment,1370500,for sale,2.0,175.0,1.0,0.0,1.0,30.0,1.0,None,None,2.0,0.0,New,2.0,1.5,0.079
2250 Olen,House,Residence,380000,for sale,3.0,184.0,None,0.0,1.0,29.0,1.0,35.0,None,None,None,New,2.0,5.1,0.362
1160 Oudergem,House,Residence,399000,for sale,1.0,85.0,1.0,0.0,1.0,None,1.0,None,240.0,2.0,0.0,To be renovated,1.0,1.6,0.573
8800 Roeselare,Apartment,Studio,139000,for sale,None,None,None,None,1.0,None,0.0,None,None,None,None,None,1.0,2.0,0.243
8434 Westende,Apartment,Apartment,315000,for sale,2.0,78.0,None,None,1.0,32.0,0.0,None,None,2.0,None,New,1.0,None,0.485
1440 Braine-le-Château,House,Residence,899000,for sale,4.0,260.0,1.0,0.0,1.0,None,1.0,None,1161.0,4.0,0.0,Excellent,3.0,5.3,0.228
1000 Brussels,Apartment,Studio,270000,for sale,0.0,53.0,1.0,0.0,0.0,None,0.0,None,None,2.0,0.0,New,1.0,1.2,0.315
3550 Heusden-Zolder,House,Residence,409000,for sale,3.0,210.0,1.0,0.0,None,None,1.0,None,379.0,3.0,None,Normal,2.0,1.6,0.989
4100 Seraing,Apartment,Apartment,199000,for sale,2.0,118.0,1.0,0.0,1.0,30.0,1.0,105.0,None,4.0,0.0,Excellent,1.0,0.34,0.152
1470 Genappe,House,Residence,299000,for sale,3.0,153.0,None,0.0,1.0,1.0,1.0,744.0,854.0,3.0,0.0,To be renovated,2.0,6.7,0.126
1300 Wavre,House,Residence,310000,for sale,3.0,190.0,None,0.0,1.0,8.0,0.0,None,150.0,3.0,None,None,1.0,0.555,0.159
7000 Mons,House,Residence,230000,for sale,3.0,110.0,1.0,0.0,1.0,None,1.0,None,291.0,3.0,None,Normal,2.0,None,None
2100 Deurne,Apartment,Apartment,235000,for sale,2.0,119.0,None,None,1.0,None,0.0,None,None,None,None,None,1.0,2.9,0.209
8620 Nieuwpoort,House,Residence,374000,for sale,3.0,None,None,None,0.0,None,1.0,None,343.0,3.0,None,New,2.0,11.1,1.4
1140 Evere,House,Residence,895000,for sale,8.0,407.0,None,0.0,1.0,None,0.0,None,None,None,0.0,Normal,1.0,1.0,0.677
1190 Vorst,House,Residence,650000,for sale,3.0,260.0,1.0,None,None,None,None,None,70.0,2.0,0.0,To be renovated,None,0.9,0.113
4420 Saint-Nicolas,House,Residence,185000,for sale,2.0,110.0,1.0,0.0,1.0,21.0,1.0,310.0,420.0,3.0,0.0,Normal,1.0,2.3,0.167
1820 Steenokkerzeel,House,Residence,648000,for sale,5.0,350.0,1.0,0.0,1.0,None,1.0,None,507.0,2.0,None,Fully renovated,3.0,7.1,0.08
9880 Aalter,House,Residence,460000,for sale,3.0,200.0,None,None,1.0,None,1.0,None,429.0,2.0,None,None,2.0,2.5,0.35
2060 Antwerp,Apartment,Apartment,399000,for sale,3.0,183.0,None,0.0,1.0,None,0.0,None,None,3.0,None,Normal,2.0,0.54,0.308
1080 Sint-Jans-Molenbeek,House,Residence,590000,for sale,4.0,220.0,None,0.0,1.0,15.0,1.0,None,266.0,None,None,To be renovated,3.0,1.7,0.265
5550 Vresse-sur-Semois,House,Residence,119000,for sale,3.0,380.0,None,0.0,1.0,None,1.0,78.0,320.0,3.0,0.0,To be renovated,None,None,0.23
4460 Grâce-Hollogne,House,Residence,157000,for sale,3.0,201.0,1.0,0.0,1.0,27.0,1.0,65.0,246.0,3.0,0.0,To renovate,1.0,4.6,0.011
1340 Ottignies,Apartment,Apartment,299000,for sale,2.0,90.0,None,0.0,1.0,None,0.0,None,None,3.0,None,Normal,1.0,0.883,0.06
7608 Wiers,House,Residence,285000,for sale,3.0,161.0,None,1.0,1.0,None,1.0,None,2701.0,3.0,None,Normal,1.0,1.5,0.13
7860 Lessines,House,Residence,160000,for sale,6.0,138.0,None,0.0,0.0,None,0.0,None,60.0,2.0,None,Normal,1.0,0.435,0.113
8540 Deerlijk,House,Residence,490000,for sale,3.0,223.0,None,None,1.0,None,1.0,None,643.0,4.0,None,None,4.0,2.5,0.795
None,House,Residence,None,for sale,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8531 Bavikhove,House,Residence,381480,for sale,2.0,None,None,None,0.0,None,1.0,None,None,3.0,None,New,2.0,5.4,0.253
8470 Gistel,House,Residence,265000,for sale,4.0,None,None,None,1.0,None,0.0,None,272.0,2.0,None,None,1.0,10.2,0.431
1080 Sint-Jans-Molenbeek,Apartment,Apartment,170000,for sale,1.0,64.0,1.0,0.0,1.0,8.0,0.0,None,None,2.0,0.0,Normal,1.0,0.706,0.216
5620 Florennes,House,Residence,190000,for sale,3.0,160.0,None,0.0,0.0,None,1.0,None,434.0,4.0,None,To be renovated,1.0,8.3,0.123
1180 Ukkel,House,Mixed Building,750000,for sale,3.0,235.0,None,0.0,1.0,24.0,1.0,60.0,370.0,2.0,0.0,Normal,2.0,1.1,0.086
3390 Tielt,House,Residence,239000,for sale,2.0,102.0,None,0.0,0.0,None,1.0,590.0,590.0,None,None,To be renovated,None,9.9,0.38
1060 Sint-Gillis,House,Residence,699000,for sale,6.0,278.0,None,0.0,1.0,21.0,1.0,98.0,190.0,2.0,0.0,To renovate,None,0.944,0.369
1800 Vilvoorde,House,Residence,485000,for sale,4.0,145.0,None,None,0.0,None,1.0,None,1168.0,4.0,None,None,None,2.4,2.2
1000 Brussels,Apartment,Apartment,439000,for sale,2.0,108.0,1.0,None,1.0,3.0,0.0,None,None,2.0,0.0,Normal,2.0,0.59,0.252
6880 Bertrix,Apartment,Apartment,145000,for sale,2.0,78.0,1.0,0.0,0.0,None,0.0,None,None,None,0.0,Normal,1.0,0.75,0.289
2340 Beerse,Apartment,Apartment,295000,for sale,3.0,102.0,None,0.0,0.0,None,0.0,None,None,3.0,None,Normal,1.0,11.9,0.399
6200 Bouffioulx,House,Cottage,299000,for sale,3.0,286.0,None,None,None,None,1.0,None,8183.0,4.0,None,To be renovated,None,2.5,1.5
1030 Schaarbeek,Apartment,Apartment,199000,for sale,1.0,57.0,1.0,0.0,1.0,2.0,None,None,None,2.0,0.0,Normal,1.0,1.1,0.034
1430 Rebecq,House,Residence,349000,for sale,4.0,210.0,1.0,0.0,1.0,14.0,1.0,72.0,344.0,3.0,0.0,Normal,2.0,3.8,0.131
1070 Anderlecht,Apartment,Apartment,185000,for sale,2.0,75.0,None,0.0,1.0,3.0,0.0,None,None,2.0,None,To be renovated,1.0,1.5,0.15
5350 Ohey,House,Residence,275000,for sale,2.0,140.0,1.0,0.0,1.0,None,1.0,835.0,835.0,4.0,None,To be renovated,1.0,None,0.012
2000 Antwerp,Apartment,Duplex,549000,for sale,2.0,130.0,None,0.0,1.0,15.0,0.0,None,None,2.0,None,Normal,2.0,1.4,0.274
5377 Somme-Leuze,House,Mixed Building,249000,for sale,4.0,247.0,1.0,0.0,1.0,20.0,0.0,None,246.0,4.0,0.0,Normal,2.0,8.2,1.2
1731 Zellik,Apartment,Apartment,259000,for sale,2.0,90.0,1.0,0.0,1.0,None,0.0,None,None,None,None,Excellent,1.0,0.881,0.356
9230 Wetteren,Apartment,Penthouse,None,for sale,3.0,126.0,1.0,None,1.0,21.0,1.0,None,None,None,0.0,None,2.0,0.087,0.065
1090 Jette,Apartment,Apartment,299000,for sale,3.0,113.0,1.0,None,1.0,None,None,None,None,2.0,0.0,To renovate,2.0,2.2,0.301
1950 Kraainem,House,Residence,1850000,for sale,5.0,513.0,None,None,1.0,30.0,1.0,1580.0,1735.0,4.0,None,Normal,5.0,3.6,0.304
1430 Rebecq,House,Residence,420000,for sale,3.0,270.0,1.0,0.0,1.0,35.0,1.0,None,1030.0,3.0,None,Excellent,2.0,3.8,0.131
6220 Fleurus,Apartment,Apartment,231000,for sale,2.0,89.0,None,None,1.0,9.0,1.0,None,None,3.0,None,None,None,1.2,2.3
4680 Oupeye,House,Residence,329900,for sale,3.0,157.0,1.0,0.0,1.0,None,1.0,125.0,246.0,3.0,0.0,New,1.0,4.8,0.226
2580 Beerzel,Apartment,Apartment,349000,for sale,2.0,101.0,None,None,1.0,None,1.0,None,None,None,None,New,1.0,7.0,0.275
8940 Wervik,House,Residence,90000,for sale,3.0,125.0,1.0,None,1.0,None,1.0,None,485.0,2.0,0.0,To be renovated,None,0.482,0.339
1080 Sint-Jans-Molenbeek,Apartment,Apartment,250000,for sale,3.0,132.0,1.0,0.0,1.0,None,0.0,None,None,2.0,0.0,To be renovated,1.0,1.6,0.159
5580 Rochefort,House,Chalet,120000,for sale,1.0,125.0,None,0.0,1.0,None,1.0,None,1500.0,4.0,0.0,To restore,None,2.3,0.061
4960 Malmedy,House,Residence,576000,for sale,5.0,245.0,1.0,0.0,None,None,1.0,None,None,4.0,None,Excellent,3.0,10.3,0.523
8400 Oostende,Apartment,Penthouse,569000,for sale,2.0,204.0,None,None,1.0,None,0.0,None,None,4.0,None,Excellent,1.0,3.3,0.428
3520 Zonhoven,House,Residence,895000,for sale,4.0,369.0,None,None,1.0,None,1.0,None,14060.0,4.0,None,Excellent,1.0,2.0,0.939
9940 Evergem,House,Residence,398000,for sale,3.0,None,None,None,0.0,None,1.0,None,435.0,3.0,None,New,None,4.4,0.648
1840 Londerzeel,House,Residence,325000,for sale,3.0,138.0,None,0.0,1.0,None,1.0,None,473.0,4.0,None,To be renovated,None,3.4,0.375
2870 Puurs,House,Residence,315000,for sale,3.0,126.0,None,0.0,0.0,None,1.0,None,430.0,None,None,Normal,None,1.3,0.213
2240 Zandhoven,Apartment,Duplex,1185000,for sale,3.0,364.0,None,0.0,1.0,48.0,0.0,None,None,None,None,None,3.0,7.0,0.91
6780 Messancy,Apartment,Duplex,265000,for sale,2.0,88.0,1.0,0.0,0.0,None,0.0,None,None,3.0,0.0,Normal,1.0,5.1,3.5
8730 Beernem,House,Residence,625000,for sale,4.0,193.0,1.0,0.0,1.0,None,1.0,None,662.0,3.0,None,Normal,2.0,5.8,0.631
1560 Hoeilaart,House,Residence,645000,for sale,4.0,300.0,None,0.0,1.0,30.0,1.0,60.0,195.0,2.0,None,Normal,2.0,1.2,0.103
1050 Elsene,Apartment,Apartment,625000,for sale,2.0,160.0,1.0,0.0,1.0,11.0,0.0,None,None,2.0,0.0,Excellent,None,1.5,0.202
4020 Bressoux,House,Residence,230000,for sale,2.0,80.0,None,None,1.0,30.0,0.0,None,100.0,2.0,None,None,None,1.5,0.288
6110 Montigny-le-Tilleul,House,Villa,275000,for sale,2.0,107.0,None,None,1.0,35.0,1.0,None,970.0,4.0,None,Normal,None,2.8,0.135
4420 Saint-Nicolas,House,Residence,159000,for sale,4.0,146.0,1.0,0.0,1.0,77.0,1.0,215.0,390.0,2.0,0.0,Normal,2.0,2.1,0.098
6870 Saint-Hubert,House,Residence,169900,for sale,2.0,70.0,1.0,0.0,1.0,10.0,1.0,None,130.0,2.0,0.0,Fully renovated,1.0,6.9,0.189
2580 Beerzel,Apartment,Apartment,315000,for sale,2.0,90.0,None,None,1.0,None,1.0,None,None,None,None,New,1.0,7.0,0.275
4651 Battice,House,Residence,385000,for sale,3.0,167.0,1.0,0.0,0.0,None,0.0,None,75.0,3.0,0.0,Excellent,None,8.5,0.169
1745 Opwijk,House,Residence,568055,for sale,4.0,245.0,None,None,None,None,1.0,None,554.0,4.0,None,New,None,4.1,0.104
2330 Merksplas,House,Villa,629000,for sale,5.0,442.0,None,None,1.0,None,1.0,None,2820.0,4.0,1.0,Normal,None,6.5,None
5000 Namur,Apartment,Apartment,249000,for sale,2.0,73.0,1.0,0.0,1.0,3.0,0.0,None,None,2.0,0.0,Normal,1.0,0.796,0.155
9450 Haaltert,House,Residence,225000,for sale,3.0,None,None,None,0.0,None,1.0,None,442.0,2.0,None,None,None,1.7,0.601
7500 Tournai,Apartment,Apartment,569000,for sale,3.0,135.0,1.0,None,1.0,None,0.0,None,None,2.0,None,Excellent,2.0,1.4,0.066
7711 Dottignies,House,Residence,300000,for sale,4.0,175.0,None,0.0,1.0,None,1.0,840.0,1086.0,4.0,1.0,To be renovated,1.0,5.2,0.328
7080 Frameries,House,Residence,70000,for sale,2.0,90.0,None,0.0,1.0,15.0,0.0,None,None,3.0,None,To be renovated,1.0,2.3,0.205
2275 Lille,Apartment,Apartment,279000,for sale,2.0,98.0,None,0.0,1.0,None,0.0,None,None,None,None,Excellent,1.0,5.3,0.125
1160 Oudergem,Apartment,Apartment,350000,for sale,3.0,100.0,None,0.0,1.0,9.0,0.0,None,None,4.0,None,Normal,1.0,1.4,0.28
8800 Roeselare,Apartment,Apartment,149500,for sale,1.0,81.0,None,None,1.0,None,0.0,None,None,None,None,Excellent,None,1.1,0.271
4920 Harzé,House,Residence,219000,for sale,2.0,65.0,None,0.0,0.0,None,1.0,179.0,217.0,3.0,None,Normal,1.0,4.4,0.112
6900 Marche-en-Famenne,House,Residence,345000,for sale,2.0,108.0,None,0.0,1.0,None,1.0,None,None,None,None,To be renovated,2.0,1.6,0.1
7370 Dour,House,Residence,130000,for sale,2.0,65.0,None,0.0,1.0,33.0,1.0,None,244.0,2.0,None,Normal,2.0,3.7,0.051
2180 Ekeren,House,Residence,575000,for sale,4.0,166.0,1.0,None,1.0,None,1.0,570.0,661.0,3.0,0.0,To be renovated,2.0,0.398,0.292
9700 Oudenaarde,House,Residence,294000,for sale,3.0,104.0,None,0.0,1.0,None,0.0,None,60.0,2.0,None,None,2.0,0.456,0.086
1180 Ukkel,Apartment,Loft,640000,for sale,3.0,185.0,1.0,0.0,1.0,31.0,0.0,None,None,2.0,0.0,None,3.0,0.877,0.113
8670 Koksijde,Apartment,Apartment,525000,for sale,2.0,106.0,None,None,1.0,11.0,1.0,None,None,None,None,New,1.0,5.1,0.039
8620 Nieuwpoort,Apartment,Apartment,645000,for sale,2.0,112.0,None,None,1.0,None,0.0,None,None,2.0,None,New,1.0,9.4,0.347
8400 Oostende,Apartment,Apartment,199000,for sale,2.0,78.0,None,1.0,1.0,None,0.0,None,None,None,None,Normal,None,3.1,0.744
4101 Jemeppe,Apartment,Apartment,348300,for sale,3.0,115.0,None,0.0,1.0,None,None,None,None,None,None,New,None,0.297,0.162
3550 Heusden-Zolder,House,Residence,435000,for sale,3.0,175.0,None,None,1.0,15.0,1.0,None,332.0,2.0,None,None,2.0,6.1,0.136
7700 Mouscron,Apartment,Apartment,127000,for sale,2.0,79.0,1.0,0.0,0.0,None,0.0,None,None,2.0,0.0,To renovate,1.0,0.969,0.108
6031 Monceau-sur-Sambre,House,Residence,189000,for sale,3.0,92.0,1.0,None,None,None,1.0,None,None,3.0,0.0,Excellent,1.0,1.4,0.049
2870 Puurs-Sint-Amands,House,Residence,624000,for sale,3.0,230.0,None,None,0.0,None,0.0,None,350.0,3.0,None,None,2.0,0.471,0.723
7321 Blaton,House,Villa,695000,for sale,4.0,405.0,None,0.0,None,None,1.0,6975.0,6480.0,4.0,0.0,New,None,1.0,0.026
2860 Sint-Katelijne-Waver,House,Residence,702000,for sale,4.0,273.0,None,0.0,0.0,None,1.0,None,737.0,None,None,New,None,1.7,0.114
8540 Deerlijk,House,Residence,318000,for sale,4.0,145.0,1.0,0.0,1.0,35.0,1.0,300.0,452.0,2.0,0.0,Normal,2.0,3.4,0.296
4800 Verviers,House,Mixed Building,165000,for sale,6.0,168.0,None,None,1.0,None,0.0,None,None,2.0,0.0,To renovate,3.0,0.407,0.057
6830 Bouillon,House,Villa,375000,for sale,4.0,177.0,None,None,1.0,None,1.0,None,1767.0,None,1.0,Normal,None,7.7,0.475
9500 Geraardsbergen,House,Residence,285000,for sale,3.0,130.0,None,1.0,1.0,None,1.0,None,410.0,4.0,0.0,Normal,2.0,1.6,0.624
8470 Gistel,House,Mixed Building,350000,for sale,2.0,240.0,1.0,None,1.0,13.0,None,None,None,2.0,0.0,To be renovated,None,10.3,0.068
8930 Menen,House,Residence,149000,for sale,4.0,170.0,None,None,1.0,None,1.0,None,74.0,2.0,None,None,2.0,0.785,0.085
7134 Épinois,House,Residence,264999,for sale,4.0,175.0,1.0,0.0,1.0,None,1.0,None,232.0,3.0,0.0,Normal,1.0,2.8,0.034
6630 Martelange,House,Residence,349000,for sale,3.0,172.0,None,None,0.0,None,1.0,3500.0,3500.0,None,None,Normal,None,None,0.196
