Zip Code,Municipality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Number of facades,Swimming pool,State of the building,price_per_m2,Region,building_state_encoded
7100,La Louviere,House,Residence,138000.0,for sale,2.0,80.0,0.0,0.0,1.0,15.0,0.0,0.0,59.0,2.0,0.0,,1725.0,Wallonia,
1120,Neder Over Heembeek,House,Residence,785000.0,for sale,4.0,324.0,0.0,0.0,1.0,16.0,1.0,,328.0,2.0,0.0,New,2422.8395061728397,Brussels,9.0
4400,Flemalle,House,Bungalow,335000.0,for sale,2.0,150.0,1.0,0.0,1.0,2.0,1.0,650.0,970.0,4.0,0.0,Normal,2233.3333333333335,Wallonia,5.0
8460,Oudenburg,House,Residence,219000.0,for sale,3.0,,0.0,0.0,0.0,0.0,1.0,,,4.0,0.0,,,Flanders,
4728,Hergenrath,House,Villa,899000.0,for sale,6.0,481.0,0.0,0.0,1.0,,1.0,,,,0.0,,1869.022869022869,Wallonia,
2580,Beerzel,House,Residence,545000.0,for sale,4.0,274.0,0.0,0.0,1.0,,1.0,,3450.0,4.0,1.0,,1989.051094890511,Flanders,
1030,Schaarbeek,Apartment,Apartment,299000.0,for sale,2.0,88.0,0.0,0.0,1.0,,0.0,0.0,,3.0,0.0,Excellent,3397.7272727272725,Brussels,8.0
1330,Rixensart,House,Residence,795000.0,for sale,4.0,208.0,0.0,0.0,1.0,14.0,1.0,559.0,559.0,4.0,0.0,New,3822.1153846153848,Wallonia,9.0
4608,Warsage,House,Bungalow,460000.0,for sale,4.0,210.0,0.0,0.0,1.0,,1.0,653.0,808.0,4.0,0.0,Normal,2190.4761904761904,Wallonia,5.0
9940,Kluizen,House,Residence,345000.0,for sale,3.0,135.0,0.0,0.0,0.0,0.0,1.0,,675.0,4.0,0.0,,2555.5555555555557,Flanders,
1410,Waterloo,House,Villa,460000.0,for sale,4.0,230.0,0.0,0.0,0.0,0.0,1.0,,990.0,4.0,1.0,,2000.0,Wallonia,
6741,Vance,House,Residence,770000.0,for sale,5.0,271.0,0.0,0.0,0.0,0.0,1.0,,600.0,4.0,0.0,New,2841.3284132841327,Wallonia,9.0
6800,Libramont Chevigny,Apartment,Apartment,175000.0,for sale,2.0,,0.0,0.0,1.0,3.0,0.0,0.0,,,0.0,Normal,,Wallonia,5.0
3970,Leopoldsburg,House,Residence,550000.0,for sale,4.0,274.0,0.0,0.0,1.0,10.0,1.0,,904.0,2.0,0.0,,2007.2992700729926,Flanders,
2200,Herentals,House,Residence,359000.0,for sale,3.0,166.0,0.0,0.0,0.0,0.0,1.0,,498.0,3.0,0.0,Normal,2162.6506024096384,Flanders,5.0
5500,Dinant,House,Residence,1850000.0,for sale,7.0,2274.0,0.0,0.0,1.0,100.0,1.0,,29205.0,4.0,0.0,Normal,813.5444151275286,Wallonia,5.0
4432,Alleur,House,Residence,235000.0,for sale,3.0,173.0,0.0,0.0,0.0,0.0,1.0,,195.0,3.0,0.0,To be renovated,1358.3815028901734,Wallonia,4.0
7387,Montignies Sur Roc,House,Residence,160000.0,for sale,3.0,202.0,0.0,0.0,1.0,,1.0,,7320.0,4.0,0.0,To be renovated,792.0792079207921,Wallonia,4.0
6630,Martelange,House,Residence,386000.0,for sale,4.0,133.0,0.0,0.0,0.0,0.0,1.0,,184.0,2.0,0.0,Normal,2902.2556390977443,Wallonia,5.0
6220,Fleurus,House,Master House,269900.0,for sale,4.0,180.0,0.0,0.0,1.0,50.0,1.0,130.0,280.0,2.0,0.0,Normal,1499.4444444444443,Wallonia,5.0
