locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km,price_per_m2,postal_code,region,outlier_flag,avg_price_locality,building_state_encoded
7390 Quaregnon,House,Residence,175000.0,for sale,3.0,154.0,0.0,,1.0,,1.0,,315.0,3.0,0.0,,,1.9,0.118,1136.36,7390,Wallonia,False,153454.5,
9450 Haaltert,House,Residence,199000.0,for sale,3.0,169.0,1.0,0.0,1.0,,1.0,,142.0,2.0,0.0,,,4.8,0.143,1177.51,9450,Flanders,False,349534.4,
4000 Liege,House,Mixed Building,749000.0,for sale,8.0,210.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,Excellent,4.0,0.436,0.028,3566.67,4000,Wallonia,False,278374.3,8.0
4845 Jalhay,House,Villa,448000.0,for sale,4.0,185.0,0.0,0.0,1.0,18.0,1.0,,1237.0,4.0,0.0,,2.0,5.4,0.234,2421.62,4845,Wallonia,False,502500.0,
3520 Zonhoven,House,Residence,885000.0,for sale,4.0,365.0,0.0,,1.0,40.0,1.0,,1233.0,2.0,1.0,,3.0,0.505,0.472,2424.66,3520,Flanders,False,456567.1,
6838 Corbion,House,Residence,349000.0,for sale,3.0,220.0,0.0,0.0,1.0,16.0,1.0,150.0,303.0,3.0,0.0,New,,,0.077,1586.36,6838,Wallonia,False,251500.0,9.0
8890 Moorslede,House,Residence,120000.0,for sale,4.0,113.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,7.2,0.229,1061.95,8890,Flanders,False,203461.5,
1200 Sint-Lambrechts-Woluwe,Apartment,Penthouse,1650000.0,for sale,3.0,204.0,0.0,,1.0,46.0,0.0,0.0,,2.0,0.0,New,2.0,2.8,0.092,8088.24,1200,Brussels,False,584235.9,9.0
1370 Jodoigne,House,Residence,175000.0,for sale,2.0,100.0,0.0,,0.0,0.0,1.0,,123.0,3.0,0.0,To be renovated,2.0,,0.427,1750.0,1370,Wallonia,False,330103.9,4.0
6660 Houffalize,House,Residence,145000.0,for sale,2.0,115.0,0.0,0.0,0.0,0.0,1.0,,300.0,2.0,0.0,To be renovated,,,0.863,1260.87,6660,Wallonia,False,329333.3,4.0
1081 Koekelberg,Apartment,Apartment,195000.0,for sale,1.0,71.0,0.0,,1.0,2.0,0.0,0.0,,3.0,0.0,,,0.767,0.02,2746.48,1081,Brussels,False,280015.4,
8370 Blankenberge,Apartment,Apartment,419000.0,for sale,3.0,136.0,0.0,,1.0,,1.0,,,,0.0,,1.0,0.42,0.215,3080.88,8370,Flanders,False,296548.1,
1480 Tubize,House,Residence,250000.0,for sale,3.0,120.0,0.0,0.0,0.0,0.0,1.0,157.0,248.0,2.0,0.0,Normal,2.0,0.527,0.016,2083.33,1480,Wallonia,False,318438.0,5.0
5590 Ciney,Apartment,Apartment,275000.0,for sale,2.0,137.0,1.0,0.0,1.0,2.0,0.0,0.0,,2.0,0.0,Normal,1.0,0.564,0.348,2007.3,5590,Wallonia,False,293138.9,5.0
1380 Lasne,House,Villa,1190000.0,for sale,6.0,526.0,0.0,,1.0,,1.0,,5342.0,4.0,1.0,To be renovated,3.0,5.2,0.256,2262.36,1380,Wallonia,False,739487.4,4.0
4000 Liege,House,Residence,209000.0,for sale,5.0,150.0,0.0,0.0,0.0,0.0,1.0,,258.0,3.0,0.0,,2.0,0.503,0.24,1393.33,4000,Wallonia,False,278374.3,
2440 Geel,Apartment,Apartment,275000.0,for sale,2.0,89.0,0.0,0.0,1.0,,0.0,0.0,,2.0,0.0,Normal,1.0,1.9,0.309,3089.89,2440,Flanders,False,319010.7,5.0
9600 Ronse,Apartment,Apartment,241500.0,for sale,2.0,87.0,0.0,0.0,1.0,12.0,0.0,0.0,,2.0,0.0,,1.0,1.1,0.044,2775.86,9600,Flanders,False,339575.5,
9500 Geraardsbergen,House,Residence,449000.0,for sale,3.0,115.0,1.0,,1.0,,1.0,,558.0,3.0,0.0,New,2.0,2.3,0.013,3904.35,9500,Flanders,False,349010.6,9.0
7503 Froyennes,House,Residence,169000.0,for sale,4.0,122.0,0.0,0.0,1.0,,1.0,,,2.0,0.0,To be renovated,1.0,1.1,0.241,1385.25,7503,Wallonia,False,535500.0,4.0
8370 Blankenberge,House,Residence,330000.0,for sale,4.0,173.0,0.0,,1.0,,0.0,0.0,110.0,,0.0,To be renovated,,0.636,0.143,1907.51,8370,Flanders,False,296548.1,4.0
4300 Waremme,Apartment,Apartment,339000.0,for sale,3.0,136.0,0.0,0.0,1.0,20.0,1.0,550.0,,2.0,0.0,,2.0,1.4,0.468,2492.65,4300,Wallonia,False,293246.9,
9300 Aalst,House,Residence,799000.0,for sale,5.0,219.0,0.0,0.0,1.0,,1.0,,624.0,3.0,0.0,Normal,2.0,1.5,0.644,3648.4,9300,Flanders,False,360900.1,5.0
7880 Flobecq,House,Villa,695000.0,for sale,4.0,274.0,1.0,0.0,1.0,,1.0,1500.0,1500.0,4.0,0.0,Fully renovated,,7.6,0.193,2536.5,7880,Wallonia,False,358000.0,7.0
8700 Tielt,Apartment,Apartment,295000.0,for sale,2.0,80.0,1.0,,0.0,0.0,0.0,0.0,,,0.0,New,1.0,0.394,0.28,3687.5,8700,Flanders,False,379307.5,9.0
7170 Bellecourt,House,Residence,337372.0,for sale,4.0,196.0,0.0,,0.0,0.0,1.0,246.0,320.0,2.0,0.0,New,2.0,3.3,0.121,1721.29,7170,Wallonia,False,347841.0,9.0
1410 Waterloo,Apartment,Apartment,345000.0,for sale,1.0,60.0,1.0,1.0,1.0,,0.0,0.0,,,1.0,Excellent,1.0,1.6,0.267,5750.0,1410,Wallonia,False,657170.0,8.0
6983 Ortho,House,Residence,95000.0,for sale,1.0,77.0,0.0,1.0,0.0,0.0,1.0,407.0,407.0,4.0,0.0,To be renovated,1.0,,0.403,1233.77,6983,Wallonia,False,128000.0,4.0
8300 Knokke,Apartment,Apartment,530000.0,for sale,4.0,114.0,1.0,,1.0,,0.0,0.0,,3.0,0.0,To be renovated,1.0,0.831,0.402,4649.12,8300,Flanders,False,1056910.3,4.0
8000 Brugge,Apartment,Apartment,255000.0,for sale,2.0,70.0,0.0,0.0,1.0,,1.0,,,3.0,0.0,Normal,1.0,0.604,0.2,3642.86,8000,Flanders,False,488946.1,5.0
6040 Jumet,House,Residence,90000.0,for sale,3.0,135.0,0.0,,0.0,0.0,0.0,0.0,198.0,3.0,0.0,To be renovated,,3.0,0.12,666.67,6040,Wallonia,False,197062.2,4.0
3000 Leuven,Apartment,Studio,180000.0,for sale,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,1.0,2.3,0.19,8181.82,3000,Flanders,False,408951.9,
1050 Elsene,Apartment,Triplex,595000.0,for sale,3.0,190.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,Fully renovated,3.0,1.4,0.028,3131.58,1050,Brussels,False,771126.3,7.0
1330 Rixensart,House,Residence,795000.0,for sale,4.0,208.0,1.0,0.0,1.0,14.0,1.0,559.0,559.0,4.0,0.0,New,,0.245,0.389,3822.12,1330,Wallonia,False,588095.7,9.0
